Desc2,Hue,Sat,Lum
Moderate pink,337.7,55.3,51.1
Dark pink-red,338.5,87.5,34.4
Greyish dark pink,339.0,22.5,49.7
Strong pink,339.0,84.9,44.0
Dark moderate pink,339.3,43.9,45.0
Very dark greyish red,340.3,13.2,27.3
Pink-red,343.3,91.7,51.3
Strong dark red,347.4,97.9,38.0
Dark moderate pink-red,349.0,31.5,51.4
Very pale red,349.3,100.0,90.0
Dark medium red,349.5,47.9,35.0
Pale red,349.5,100.0,85.8
Bright red,349.8,75.3,53.3
Dark brown,350.0,69.9,33.9
Light greyish red,350.0,31.3,80.6
Red,350.0,100.0,47.2
Greyish pink-red,350.2,38.7,62.6
Light red,350.2,100.0,63.8
Very dark red,351.3,82.3,19.3
Vivid red,351.4,90.1,51.4
Medium light pink-red,351.5,98.5,61.8
Soft red,351.5,84.2,68.4
Very dark grey red,351.7,33.3,26.9
Dark red,351.8,81.5,34.4
Greyish dark pink-red,352.0,16.7,45.0
Very soft red,352.0,72.1,76.9
Strong red,352.1,78.7,44.3
Greyish red,352.2,17.8,67.8
Medium light red,352.8,55.9,72.0
Dark greyish red,353.0,9.6,51.2
Moderate red,354.0,54.9,52.4
Very light pink-red,355.0,78.3,89.9
Very light red,355.8,100.0,76.7
Dark moderate red,357.0,40.7,43.0
White,360.0,100.0,100.0
